Column1.id_opd;Column1.opd;Column1.id_layanan;Column1.layanan
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;759;Pelayanan Permohonan Operasi, Normalisasi Sungai, dan Saluran Pembuangan
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;119;Pelayanan Permohonan Pemakaian Penyewaan Kendaraan Alat Berat
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;763;Pelayanan Permohonan Pemasangan Baru Lampu Penerangan Jalan Umum (LPJU)
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;116;Pelayanan Permohonan Pembangunan / Pemeliharaan Jalan, dan Jembatan
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;118;Pelayanan Permohonan Pembangunan, Peningkatan dan Pemeliharaan Irigasi
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;117;Pelayanan Permohonan Pemeliharaan Lampu Penerangan Jalan Umum (LPJU)
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;764;Pelayanan Permohonan Pencabangan Pohon
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;760;Pelayanan Permohonan Penerbitan Rekomendasi Pemindahan Aset Irigasi
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;765;Pelayanan Permohonan Pinjam Pakai Kendaraan Alat Berat
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;766;Pengujian/Pengambilan Sampel Uji
6;Dinas Cipta Karya dan Tata Ruang;1323;Bantuan Bahan Material Rumah Ibadah
6;Dinas Cipta Karya dan Tata Ruang;1316;Informasi Tata Ruang
6;Dinas Cipta Karya dan Tata Ruang;273;Keterangan Rencana Kabupaten (KRK)
6;Dinas Cipta Karya dan Tata Ruang;1322;Pembangunan Air Bersih/Peningkatan Air Bersih
6;Dinas Cipta Karya dan Tata Ruang;1321;Pembangunan Tangki Septik Masyarakat Berpenghasilan Rendah (MBR)
6;Dinas Cipta Karya dan Tata Ruang;1318;Pembuatan Rencana Anggaran Biaya (RAB) dan Tenaga Teknis
6;Dinas Cipta Karya dan Tata Ruang;269;Peminjaman toilet portable
6;Dinas Cipta Karya dan Tata Ruang;1320;Penerimaan Surat Masuk
6;Dinas Cipta Karya dan Tata Ruang;1319;Rehabilitasi Bangunan Gedung
6;Dinas Cipta Karya dan Tata Ruang;494;Ruang Terbuka Hijau (RTH)/Taman Buah
6;Dinas Cipta Karya dan Tata Ruang;270;Sedot Tinja
6;Dinas Cipta Karya dan Tata Ruang;271;Sertifikat Laik Fungsi (SLF)
6;Dinas Cipta Karya dan Tata Ruang;285;Sistem informasi manajemen bangunan gedung (SIMBG)
6;Dinas Cipta Karya dan Tata Ruang;272;Sistem informasi perencanaan dan pengendalian pemanfaatan ruang interaktif (SIP3NTAR)
6;Dinas Cipta Karya dan Tata Ruang;1317;Validasi Persetujuan Kesesuaian Kegiatan Pemanfaatan Ruang
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;267;Pelayanan Bantuan Rumah Akibat Bencana
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;266;Pelayanan Bantuan Rumah Tidak Layak Huni
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;281;Pelayanan Informasi Pertanahan
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;21;Pelayanan Pembangunan/Rehabilitasi/Pemeliharaan Prasarana, Sarana dan Utilitas Umum
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;702;Pelayanan Pemeliharaan Prasarana, Sarana dan Utilitas Umum pada Perumahan
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;268;Pelayanan Penataan Prasarana, Sarana dan Utilitas Umum pada Kawasan Kumuh
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;703;Pelayanan Pengadaan Tanah Bagi Kepentingan Umum
7;Dinas Perumahan dan Kawasan Permukiman serta Pertanahan;513;Pelayanan Penyerahan Prasarana, Sarana dan Utilitas Umum Kepada Pemerintah Daerah
8;Satuan Polisi Pamong Praja;115;Pelayanan Bantuan Penanggulangan Bencana
8;Satuan Polisi Pamong Praja;111;Pelayanan Kerugian Materil dan/atau Cedera Fisik akibat Penegakan Hukum Terhadap Pelanggaran Perda dan Perkada
8;Satuan Polisi Pamong Praja;114;Pelayanan Patroli
8;Satuan Polisi Pamong Praja;108;Pelayanan Pengaduan Pelanggaran Peraturan Daerah dan Peraturan Kepala Daerah
8;Satuan Polisi Pamong Praja;112;Pelayanan Pengamanan
8;Satuan Polisi Pamong Praja;113;Pelayanan Pengamanan Unjuk Rasa
9;Dinas Sosial;138;Pengaduan PKH dan BPNT
9;Dinas Sosial;143;Pengusulan DTKS
9;Dinas Sosial;146;Pengusulan PBI
9;Dinas Sosial;139;Pengusulan PKH dan BPNT
9;Dinas Sosial;559;PROGRAM GOTONG ROYONG
9;Dinas Sosial;142;Surat Keterangan DTSEN
9;Dinas Sosial;140;Surat Keterangan Tidak Mampu
9;Dinas Sosial;558;SURAT REKOMENDASI PAS PULA
9;Dinas Sosial;145;Unregister/Nonregister
10;Dinas Ketenagakerjaan;440; Pelayanan Pendaftaran Perjanjian Kerja Bersama (PKB)
10;Dinas Ketenagakerjaan;449;Pelayanan Pelatihan Berbasis Kompetensi (PBK)
10;Dinas Ketenagakerjaan;446;Pelayanan Pemberian Rekomendasi Bagi Lembaga Pelatihan Kerja Swasta (LPKS) dan Balai Latihan Kerja Komunitas (BLKK)
10;Dinas Ketenagakerjaan;493;Pelayanan Pemberian Surat Persetujuan Penyelenggaraan Pemagangan Dalam Negeri (PDN)
10;Dinas Ketenagakerjaan;447;Pelayanan Pemberian Surat Persetujuan Penyelenggaraan Pemagangan Luar Negeri (PLN)
10;Dinas Ketenagakerjaan;445;Pelayanan Pemberian Tanda Daftar Bagi Balai Latihan Kerja (BLK) Pemerintah, Lembaga Pelatihan Kerja (LPK) Lapas dan Lembaga Pelatihan Kerja (LPK) Perusahaan
10;Dinas Ketenagakerjaan;441;Pelayanan Pencatatan Lembaga Kerja Sama Bipartit (LKS Bipartit)
10;Dinas Ketenagakerjaan;442;Pelayanan Pencatatan Perjanjian Kerja Waktu Tertentu (PKWT)
10;Dinas Ketenagakerjaan;438;Pelayanan Pencatatan Serikat Pekerja/Serikat Buruh (SP/SB)
10;Dinas Ketenagakerjaan;371;Pelayanan Penerbitan Kartu Tanda Bukti Pendaftaran Pencari Kerja (AK-I)
10;Dinas Ketenagakerjaan;373;Pelayanan Penerbitan Rekomendasi Paspor Calon Pekerja Migran Indonesia (CPMI)
10;Dinas Ketenagakerjaan;444;Pelayanan Penerbitan Tanda Daftar Bursa Kerja Khusus (BKK)
10;Dinas Ketenagakerjaan;439;Pelayanan Pengesahan Peraturan Perusahaan (PP)
10;Dinas Ketenagakerjaan;443;Pelayanan Penyelesaian Perselisihan Hubungan Industrial (PHI)
11;Dinas Pemberdayaan Perempuan dan Perlindungan Anak serta Pengendalian Penduduk dan Keluarga Berencana;360;Layanan Pengaduan dan Penanganan Korban Kekerasan Terhadap Perempuan dan Anak
11;Dinas Pemberdayaan Perempuan dan Perlindungan Anak serta Pengendalian Penduduk dan Keluarga Berencana;363;Layanan PUSPAGA
12;Dinas Ketahanan Pangan;1324;Gerakan Pangan Murah (GPM)
12;Dinas Ketahanan Pangan;1690;Pemberian Bantuan bibit, Benih dan Ternak Pekarangan Pangan Lestari
12;Dinas Ketahanan Pangan;357;Registrasi Keamanan Pangan segar Asal Tumbuhan Produksi Dalam Negeri Usaha Kecil
13;Dinas Lingkungan Hidup;630;Pembinaan dan Penilaian Gerakan Peduli Berbudaya Lingkungan Hidup di Sekolah (GPBLHS)
13;Dinas Lingkungan Hidup;629;Pemeriksaan Substansi Rincian Teknis Penyimpanan Limbah B3
13;Dinas Lingkungan Hidup;633;Pengaduan dan/atau Perusakan Lingkungan Hidup
13;Dinas Lingkungan Hidup;631;Permohonan Magang
13;Dinas Lingkungan Hidup;548;Permohonan Pemeriksaan Formulir Kerangka Acuan (KA)
13;Dinas Lingkungan Hidup;549;Permohonan Pemeriksaan Formulir UKL-UPL
13;Dinas Lingkungan Hidup;632;Permohonan Penelitian
13;Dinas Lingkungan Hidup;634;Permohonan Pengambilan Contoh Uji Kualitas Lingkungan
13;Dinas Lingkungan Hidup;622;Permohonan Penilaian Andal dan RKL-RPL
13;Dinas Lingkungan Hidup;623;Permohonan Persetujuan Dokumen Evaluasi Lingkungan Hidup (DELH)
13;Dinas Lingkungan Hidup;624;Permohonan Persetujuan Dokumen Pengelolaan Lingkungan Hidup (DPLH)
13;Dinas Lingkungan Hidup;550;Permohonan Surat Arahan Penapisan Penyusunan Dokumen Lingkungan
13;Dinas Lingkungan Hidup;625;Persetujuan Teknis Pemenuhan Baku Mutu Air Limbah
13;Dinas Lingkungan Hidup;627;Persetujuan Teknis Pemenuhan Baku Mutu Emisi
13;Dinas Lingkungan Hidup;626;Surat Kelayakan Operasional (SLO) Pemenuhan Baku Mutu Air Limbah
13;Dinas Lingkungan Hidup;628;Surat Kelayakan Operasional (SLO) Pemenuhan Baku Mutu Emisi
14;Dinas Kependudukan dan Pencatatan Sipil;332;Layanan Akta Kelahiran
14;Dinas Kependudukan dan Pencatatan Sipil;334;Layanan Akta Kematian
14;Dinas Kependudukan dan Pencatatan Sipil;336;Layanan AKta Kutipan II
14;Dinas Kependudukan dan Pencatatan Sipil;335;Layanan Akta Perceraian
14;Dinas Kependudukan dan Pencatatan Sipil;333;Layanan Akta Perkawinan
14;Dinas Kependudukan dan Pencatatan Sipil;338;Layanan Identitas Kependudukan Digital (IKD)
14;Dinas Kependudukan dan Pencatatan Sipil;328;Layanan Kartu Identitas Anak (KIA)
14;Dinas Kependudukan dan Pencatatan Sipil;326;Layanan Kartu Keluarga
14;Dinas Kependudukan dan Pencatatan Sipil;337;Layanan Konsolidasi Data
14;Dinas Kependudukan dan Pencatatan Sipil;310;Layanan KTP-El
14;Dinas Kependudukan dan Pencatatan Sipil;324;Layanan Legalisir
14;Dinas Kependudukan dan Pencatatan Sipil;330;Layanan Pengesahan Anak
14;Dinas Kependudukan dan Pencatatan Sipil;325;Layanan Perpindahan Penduduk dalam satu Desa, antar Desa dalam satu Kecamatan, antar Kecamatan dalam satu Kabupaten, antar Kabupaten dalam satu Provinsi dan antar Provinsi
14;Dinas Kependudukan dan Pencatatan Sipil;327;Layanan Surat Keterangan Tempat Tinggal/SKTT
15;Dinas Pemberdayaan Masyarakat dan Desa;1687;Fasilitas Pendaftaran Nama dan Badan Hukum BUMDES
15;Dinas Pemberdayaan Masyarakat dan Desa;1688;Fasilitas Pengembangan Usaha Ekonomi Masyarakat ( Pelatihan dan Pembinaan Bagi Warga Binaan PTP2WKSS
15;Dinas Pemberdayaan Masyarakat dan Desa;1686;Fasilitas Penyusunan RPJM dan RKP Desa
15;Dinas Pemberdayaan Masyarakat dan Desa;1683;Fasilitas Proses Administrasi Permohonan APBDesa
15;Dinas Pemberdayaan Masyarakat dan Desa;1689;Pelaksanaan Supervisi/ Pembinaan dan Monitoring/Evaluasi Desa Percontohan 10 Program Pokok PKK Kategori Tertib Administrasi PKK
15;Dinas Pemberdayaan Masyarakat dan Desa;1684;Pelayanan Pengusulan Pengangkatan dan Pemberhentian Badan Permusyawaratan Desa Antar Waktu
15;Dinas Pemberdayaan Masyarakat dan Desa;1685;Pengusulan Pengankatan Pejabatan Kepala Desa dan atau Pemberitahuan Kepala Desa 
16;Dinas Perhubungan;356;pengujian kendaraan bermotor
17;Dinas Koperasi dan Usaha Kecil dan Menengah;358;Pelayanan Data dan Informasi Perkoperasian
17;Dinas Koperasi dan Usaha Kecil dan Menengah;354;Pelayanan data dan informasi Usaha mikro Binaan
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;147; IZIN KERJA FISIOTERAPI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;155; IZIN KERJA TERAPI WICARA
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;156; IZIN KERJA TERAPIS GIGI DAN MULUT
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;161; IZIN PENDIRIAN SATUAN PENDIDIKAN FORMAL TAMAN KANAK-KANAK (TK)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;175; IZIN PRAKTIK DOKTER SPESIALIS MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;125;IZIN KERJA ANALIS
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;126;IZIN KERJA ELEKTROMEDIS
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;148;IZIN KERJA NUTRISIONIS
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1380;IZIN KERJA ORTOTIS PROSTETIS (SIKOP)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;149;IZIN KERJA PEREKAM MEDIS DAN INFORMASI KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;150;IZIN KERJA RADIOLOGI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;151;IZIN KERJA REFRAKSIONIS OPTISIEN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;152;IZIN KERJA SANITARIAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;153;IZIN KERJA TENAGA TEKNIS KEFARMASIAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;154;IZIN KERJA TENAGA TEKNIS KESEHATAN MASYARAKAT
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;158;IZIN OPERASIONAL LEMBAGA KESEJAHTERAAN SOSIAL ANAK
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;157;IZIN PEMAKAIAN TEMPAT USAHA (SIPTU)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;159;IZIN PENDIRIAN SATUAN PENDIDIKAN FORMAL SEKOLAH DASAR (SD)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;160;IZIN PENDIRIAN SATUAN PENDIDIKAN FORMAL SEKOLAH MENENGAH PERTAMA (SMP)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;162;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL KELOMPOK BERMAIN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;163;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL LEMBAGA KURSUS DAN PELATIHAN (LKP)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;164;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL PUSAT KEGIATAN BELAJAR MASYARAKAT (PKBM)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;165;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL SATUAN PAUD SEJENIS (SPS)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;166;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL TAMAN BACAAN MASYARAKAT (TBM)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;167;IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL TEMPAT PENITIPAN ANAK (TPA)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1374;IZIN PRAKTEK DOKTER HEWAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;187;IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK (ATLM)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1384;IZIN PRAKTIK AKUPUNTUR TRAPIS
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;168;IZIN PRAKTIK APOTEKER
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;169;IZIN PRAKTIK BIDAN DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;170;IZIN PRAKTIK BIDAN MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;171;IZIN PRAKTIK DOKTER GIGI DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;172;IZIN PRAKTIK DOKTER GIGI MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1382;IZIN PRAKTIK DOKTER GIGI SPESIALIS DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1383;IZIN PRAKTIK DOKTER GIGI SPESIALIS MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;173;IZIN PRAKTIK DOKTER INTERNSIP
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1381;IZIN PRAKTIK DOKTER RESIDEN DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;174;IZIN PRAKTIK DOKTER SPESIALIS DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;176;IZIN PRAKTIK DOKTER UMUM DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;177;IZIN PRAKTIK DOKTER UMUM MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;178;IZIN PRAKTIK FISIOTERAPI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1379;IZIN PRAKTIK ORTOTIS  PROSTETIS (SIPOP)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;179;IZIN PRAKTIK PERAWAT DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;180;IZIN PRAKTIK PERAWAT MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;181;IZIN PRAKTIK PERAWAT PENATA ANESTESI (SIPPA) DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1377;IZIN PRAKTIK PSIKOLOG KLINIS (SIK-PK) MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;182;IZIN PRAKTIK PSIKOLOGIS KLINIS DI SARANA KESEHATAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1378;IZIN PRAKTIK TEKNISI TRANSFUSI DARAH (SIP-TTD)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;183;IZIN PRAKTIK TERAPIS GIGI DAN MULUT
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1376;IZIN PRAKTIK TERAPIS WICARA MANDIRI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1375;IZIN PRAKTIK TUKANG GIGI
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;184;IZIN REKLAME
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;185;IZIN USAHA PENGELOLAAN PASAR RAKYAT (IUPPR)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;186;PERSETUJUAN KESESUAIAN KEGIATAN PEMANFAATAN RUANG (PKKPR) NON BERUSAHA
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;188;SURAT TERDAFTAR PENYEHAT TRADISIONAL (STPT)
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;189;TANDA DAFTAR PANTI ASUHAN
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;190;TANDA DAFTAR PANTI JOMPO
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;191;TANDA DAFTAR PELAYANAN REHABILITASI NARKOBA
18;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;192;TANDA DAFTAR PELAYANAN TUNA NETRA
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1674;Layanan Pembentukan Kelompok Sadar Wisata
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1675;Layanan Pemilihan Duta Wisata Kabupaten Deli Serdang
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1673;Layanan Penerbitan Tanda Daftar Sanggar
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1678;Layanan Rekomendasi Izin Pinjam Pakai Gedung Olahraga Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata Kab. Deli Serdang
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1677;Layanan Rekomendasi Izin Pinjam Pakai Sradion Bharoeddin Siregar
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1671;Layanan Rekomendasi Pemberian Sarana dan Prasana Olahraga
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1670;Layanan Rekomendasi Pemberian Sarana dan Prasarana Kebudayaan
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1672;Layanan Rekomendasi Pemberian Sarana dan Prasarana Pariwisata
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;1676;Layanan TIC
19;Dinas Kebudayaan, Pemuda dan Olahraga serta Pariwisata;235;Pelayanan Pengunjung Museum Daerah Deli Serdang
20;Dinas Perpustakaan dan Arsip;662;Pelayanan akuisisi arsip
20;Dinas Perpustakaan dan Arsip;201;Pelayanan Anak
20;Dinas Perpustakaan dan Arsip;203;Pelayanan aplikasi Srikandi
20;Dinas Perpustakaan dan Arsip;194;Pelayanan Baca Ditempat
20;Dinas Perpustakaan dan Arsip;199;Pelayanan Bimbingan Pemustaka rombongan
20;Dinas Perpustakaan dan Arsip;200;Pelayanan Buku Refensi
20;Dinas Perpustakaan dan Arsip;202;Pelayanan Informasi dan Pemanfaatan arsip
20;Dinas Perpustakaan dan Arsip;198;Pelayanan Internet (Wifi)
20;Dinas Perpustakaan dan Arsip;204;Pelayanan Kearsipan melalui JIKN
20;Dinas Perpustakaan dan Arsip;197;Pelayanan Komputer Internet
20;Dinas Perpustakaan dan Arsip;661;Pelayanan Naskah Kuno
20;Dinas Perpustakaan dan Arsip;665;Pelayanan pembinaan/konsultasi kearsipan
20;Dinas Perpustakaan dan Arsip;110;Pelayanan Pembuatan Kartu Anggota Perpustakaan
20;Dinas Perpustakaan dan Arsip;196;Pelayanan Peminjaman/Perpanjangan /Pengembalian Buku
20;Dinas Perpustakaan dan Arsip;663;Pelayanan penyimpanan arsip dari OPD
20;Dinas Perpustakaan dan Arsip;664;Pelayanan penyusutan arsip
20;Dinas Perpustakaan dan Arsip;109;Pelayanan Perpanjangan Kartu Anggota Perpustakaan
20;Dinas Perpustakaan dan Arsip;660;"Pelayanan Perpustakaan digital ""DIBACA"""
20;Dinas Perpustakaan dan Arsip;195;Pelayanan Perpustakaan keliling
20;Dinas Perpustakaan dan Arsip;659;Pelayanan PISA (Pusat Informasi Sahabat Anak)
21;Dinas Perikanan;506;Bantuan Sarana dan Prasarana Perikanan
21;Dinas Perikanan;515;Kartu Asuransi Ramayana
21;Dinas Perikanan;514;Kartu BPJS Ketenagakerjaan
21;Dinas Perikanan;451;Pelatihan Perikanan
21;Dinas Perikanan;452;Pembentukan Kelompok Perikanan
21;Dinas Perikanan;453;Pembinaan Pelaku Usaha Perikanan dan Kelautan
21;Dinas Perikanan;459;Rekomendasi BBM/Nomor Induk Berusaha (NIB)
22;Dinas Pertanian;121;Bantuan Benih Unggul Tanaman Pangan
22;Dinas Pertanian;120;Kemanfaatan Bantuan Alsintan
22;Dinas Pertanian;122;Pelayanan  Surat Tanda Daftar Budidaya (Petugas STD-B)
22;Dinas Pertanian;353;Pelayanan Inseminasi Buatan
22;Dinas Pertanian;124;Pelayanan Kesehatan Hewan
22;Dinas Pertanian;123;Pelayanan Penyuluhan Pertanian
23;Dinas Perindustrian dan Perdagangan;1426;Fasilitasi Industri Kecil dan Menengah (IKM)
23;Dinas Perindustrian dan Perdagangan;1424;Konsultasi dan Bimbingan Pengisian Melalui SIINas
23;Dinas Perindustrian dan Perdagangan;1432;Laporan Bulanan Penjualan Produk
23;Dinas Perindustrian dan Perdagangan;1414;Monitoring Harga Kebutuhan Pokok dan Barang Penting
23;Dinas Perindustrian dan Perdagangan;1416;Monitoring Pendistribusian Pupuk Bersubsidi
23;Dinas Perindustrian dan Perdagangan;1417;Operasi Pasar
